,PRODUCT_MDM_CODE,OBJ_KEY,img_lst
29,1779045,272144_2,https://img.hrryzx.com/upload/1/2019/1/22/eb336943-21cf-48fa-ba5b-60b5e06d3b3b.jpg;https://img.hrryzx.com/upload/1/2019/1/22/e1f1f36a-fd23-4158-a6ce-8bb0b98b6e3f.jpg;https://img.hrryzx.com/upload/1/2019/1/22/061b2c81-bab6-4a80-a9ec-f42f39b44c2e.jpg;https://img.hrryzx.com/upload/1/2019/1/22/3fddc20f-724f-4f0e-a840-e65a3bc7d554.jpg
30,2168287,395741_2,https://img.hrryzx.com/upload/1/2018/12/25/01e2150c-31b6-4e72-bc72-f32b7a0c7c8f.jpg;https://img.hrryzx.com/upload/1/2018/12/25/db2f1b2e-23a0-481e-b791-b478d1cdf881.jpg;https://img.hrryzx.com/upload/1/2018/12/25/c24203a8-e0db-4298-86d0-d41a959b1f19.jpg
31,1045489,127729_2,https://img.hrryzx.com/upload/1/2019/4/30/e0a01544-4c4e-445c-ad31-743fa54b9db1.jpg;https://img.hrryzx.com/upload/1/2019/4/30/3b5f6a9f-89a3-4b30-9093-e9ec3b4b7eae.jpg;https://img.hrryzx.com/upload/1/2019/4/30/d0a05fa1-965d-4dd5-b6b0-842622958057.jpg
32,1645154,597325_2,https://img.hrryzx.com/upload/1/2019/8/16/8e9df2f7-adeb-4898-8885-8570e4d56ee4.jpg;https://img.hrryzx.com/upload/1/2019/8/16/3e52a4e2-794c-40be-8fd0-5f5c93a5c526.jpg;https://img.hrryzx.com/upload/1/2019/8/16/01e8e36a-23eb-42bd-b89d-e478fdb7e54a.jpg
33,1685748,218363_2,1/2020/5/30/c9763bd8-acd3-4aef-938f-219056615e49.jpg;1/2020/5/30/9efe8430-c8f2-408f-8304-0c84b1c077da.jpg
34,1186977,560356_2,https://img.hrryzx.com/upload/1/2018/10/22/1f28c640-3267-401e-8f99-7eb064213c23.jpg;https://img.hrryzx.com/upload/1/2018/10/22/de76baa2-f1ee-4c12-aa76-d8e993979eb5.jpg;https://img.hrryzx.com/upload/1/2018/10/22/11fa94d0-8668-449e-9e4c-a27b91eeaa55.jpg;https://img.hrryzx.com/upload/1/2018/10/22/08bb1f46-4f00-4b84-868c-8c922bc72ac2.jpg;https://img.hrryzx.com/upload/1/2018/10/22/7dcbb619-4518-42a3-b991-a052004d376f.jpg;https://img.hrryzx.com/upload/1/2018/10/22/02071f7a-97d9-40ac-bb70-8d76691c1228.jpg
35,1116213,543429_2,1/2020/5/30/7b729caa-3869-41f3-b623-c6c149fc9180.jpg;1/2020/5/30/54b2f69a-589a-4f1c-9c2c-26a5f63370f0.jpg
36,5038226,615036_2,https://img.hrryzx.com/upload/1/2019/8/2/ef2ec4dc-fe47-4248-b4c2-3b8bb485eae5.jpg;https://img.hrryzx.com/upload/1/2019/8/2/c9510884-cff4-4b05-b536-b92583fe252a.jpg;https://img.hrryzx.com/upload/1/2019/8/2/afc1b20d-8296-49cb-9df4-dadf8dca3a76.jpg;https://img.hrryzx.com/upload/1/2019/8/2/47d55b98-d439-4b1f-8731-80393cc709ae.jpg;https://img.hrryzx.com/upload/1/2019/8/2/da56a8f4-b40a-4f76-828a-340f90f397bd.jpg
37,1583439,149380_2,https://img.hrryzx.com/upload/1/2018/10/30/3f7b7904-b12e-4c75-ae01-4b22252879a1.jpg
38,1580739,573221_2,https://img.hrryzx.com/upload/1/2019/8/16/b38c6748-ffc2-4254-bb4d-7d27c9d0c48d.jpg;https://img.hrryzx.com/upload/1/2019/8/16/c8609aff-faf0-4226-83a3-9896949a73e1.jpg;https://img.hrryzx.com/upload/1/2019/8/16/0d1ef3bc-6cd5-4465-ba61-15f0f7bafa14.jpg;https://img.hrryzx.com/upload/1/2019/8/16/c846e856-52c8-4377-ad50-c26b6240635d.jpg
39,1014014,551627_2,1/2019/12/13/9c06f9fe-59d5-4916-8133-51bf9dd4f118.jpg
40,1048432,129008_2,https://img.hrryzx.com/upload/1/2019/5/24/776f92c4-e9f1-41e5-9d83-291a15ac9f70.jpg;https://img.hrryzx.com/upload/1/2019/5/24/d59671d6-9566-4ef8-9a19-5515a82ba28e.jpg;https://img.hrryzx.com/upload/1/2019/5/24/4c377db3-6e5a-4ad5-ae4a-ec9a5f7b2840.jpg
41,1694210,601038_2,https://img.hrryzx.com/upload/1/2019/8/27/64a39f48-f8ca-4b17-bb5f-b3ec9a0d0b40.jpg
42,1002612,63870_2,https://img.hrryzx.com/upload/1/2018/10/30/4d1766c5-2616-4132-96bc-4c373216e42a.jpg
43,5025533,613067_2,https://img.hrryzx.com/upload/1/2019/5/23/1686c772-e9e3-477c-80fd-012432e2a0ba.jpg
44,1048431,570957_2,https://img.hrryzx.com/upload/1/2018/12/26/9798203a-8da9-4b70-900c-47b539924b0f.jpg;https://img.hrryzx.com/upload/1/2018/12/26/d58170ec-a81e-452a-9089-19567f67dadd.jpg;https://img.hrryzx.com/upload/1/2018/12/26/7b117a26-45e8-421c-b1a2-e27257bd3ebb.jpg;https://img.hrryzx.com/upload/1/2018/12/26/e6a5def8-f5e4-44ce-abc0-e56e587487f8.jpg
45,1684716,603329_2,https://img.hrryzx.com/upload/1/2019/5/23/6aa60efe-866b-4774-8066-192bd2c34e00.jpg;https://img.hrryzx.com/upload/1/2019/5/23/ba77c8f7-6f41-4c78-a201-77c7e25263bd.jpg
46,5027299,611636_2,https://img.hrryzx.com/upload/1/2019/5/23/a91e36c5-05db-4722-bf52-b64bfc7563d1.jpg;https://img.hrryzx.com/upload/1/2019/5/23/2e5ded9c-5ab4-485d-bd93-a3fcd9dddb0d.jpg
47,1635538,596586_2,https://img.hrryzx.com/upload/1/2018/10/30/27b4b4e3-63e0-488d-9d4e-fef197d5f998.jpg
48,1635528,597037_2,https://img.hrryzx.com/upload/1/2018/10/31/470fb7c3-4963-411a-b232-fac45bd38b16.jpg
49,1777626,608958_2,https://img.hrryzx.com/upload/1/2019/1/22/0343a9e5-80f2-4bc6-946a-e7f3d1a25f94.jpg;https://img.hrryzx.com/upload/1/2019/1/22/28666b1f-ef08-492d-a44a-c1d5db1a821b.jpg;https://img.hrryzx.com/upload/1/2019/1/22/e2aafa33-1795-44d6-aeab-2cbe3242d7e7.jpg
50,1631846,596312_2,https://img.hrryzx.com/upload/1/2019/5/23/ec7d0f11-fbd4-4e04-ad81-17deb1d4f14e.jpg
51,1006713,555423_2,https://img.hrryzx.com/upload/1/2019/5/23/1a77c746-cc3c-4400-861e-9626f46168e5.jpg;https://img.hrryzx.com/upload/1/2019/5/23/98945eee-ff9d-4c26-b3aa-52dfc03ceaf8.jpg;https://img.hrryzx.com/upload/1/2019/5/23/884472b8-be78-45cb-b3ca-cca5e8ba1a8a.jpg
52,1620106,589806_2,https://img.hrryzx.com/upload/1/2018/10/23/eb0d79dc-c8ca-4dea-b7a4-81a4b4bfd00d.jpg;https://img.hrryzx.com/upload/1/2018/10/23/ff8ea715-9631-49b7-ba17-93ad16c56c95.jpg
53,1010550,557012_2,https://img.hrryzx.com/upload/1/2018/10/22/cf92d4fa-c8bd-4612-9ba9-97011d4e79b8.jpg;https://img.hrryzx.com/upload/1/2018/10/22/0d2cc619-88fa-408a-8d41-ae5d2d2e12f8.jpg;https://img.hrryzx.com/upload/1/2018/10/22/ccdaef15-87ca-440f-a20c-e18220797a7e.jpg
54,1531887,566147_2,https://img.hrryzx.com/upload/1/2018/10/30/2f10a80b-ec5e-4687-bdc8-6b98f67549d8.jpg;https://img.hrryzx.com/upload/1/2018/10/23/bcc468d4-e8cb-49bd-b488-3b3a81dc412e.jpg
55,1003168,551804_2,https://img.hrryzx.com/upload/1/2018/10/31/7778345c-09ac-4d0a-a1a8-90ce93dd9590.jpg;https://img.hrryzx.com/upload/1/2018/10/22/0edcf46f-c0aa-4def-a029-e3bf094c03e7.JPG;https://img.hrryzx.com/upload/1/2018/10/22/7e5a679b-94fb-4431-99b1-063a13ea2fdb.JPG;https://img.hrryzx.com/upload/1/2018/10/22/59dc0bde-9a7d-4439-bafc-724981bb399a.JPG
56,1014798,41258_2,https://img.hrryzx.com/upload/1/2019/3/29/973d6d49-a174-4979-b875-b073f633c4b6.jpg;https://img.hrryzx.com/upload/1/2019/3/29/a006d141-9e38-4075-8d37-949e1e5c51a3.jpg
57,1622774,591187_2,https://img.hrryzx.com/upload/1/2019/4/30/293936d8-03dd-4096-b92c-559cebd22454.jpg;https://img.hrryzx.com/upload/1/2019/4/30/c33d6ca4-86c5-440e-a91f-c81296228070.jpg;https://img.hrryzx.com/upload/1/2019/4/30/aa7f3dc8-5222-43e6-a638-f62cdfced5a7.jpg
58,1557099,570993_2,https://img.hrryzx.com/upload/1/2018/10/23/1b900c79-d9c0-403f-b108-3dc2427dd4ad.jpg;https://img.hrryzx.com/upload/1/2018/10/23/083c2ddf-db53-4030-aee2-99e168283eed.jpg;https://img.hrryzx.com/upload/1/2018/10/23/3c3c1971-b96f-471b-bc47-c192d455a1f7.jpg
59,1609529,584188_2,https://img.hrryzx.com/upload/1/2018/10/31/ee0f1a6a-48b6-431e-a521-4fb78ab27622.jpg
